token_idx,layer_id,expert_id,source
1,34,186,RAM
1,34,107,RAM
1,35,97,RAM
1,35,167,RAM
1,35,22,RAM
1,35,104,RAM
1,35,42,RAM
1,35,202,RAM
1,35,72,RAM
1,35,89,RAM
1,36,158,RAM
1,36,70,RAM
1,36,120,RAM
1,36,118,RAM
1,36,98,RAM
1,36,74,RAM
1,36,83,RAM
1,36,28,RAM
1,37,145,RAM
1,37,58,RAM
1,37,64,RAM
1,37,182,RAM
1,37,21,RAM
1,37,124,RAM
1,37,88,RAM
1,37,32,RAM
1,38,92,RAM
1,38,148,RAM
1,38,94,RAM
1,38,212,RAM
1,38,127,RAM
1,38,209,RAM
1,38,59,RAM
1,38,84,SSD
1,39,2,RAM
1,39,189,RAM
1,39,38,RAM
1,39,78,RAM
1,39,213,RAM
1,39,69,RAM
1,39,242,SSD
1,39,89,SSD
2,0,233,SSD
2,0,127,SSD
2,0,236,SSD
2,0,40,SSD
2,0,106,SSD
2,0,157,SSD
2,0,147,SSD
2,0,43,RAM
2,1,19,RAM
2,1,124,SSD
2,1,242,SSD
2,1,211,RAM
2,1,167,SSD
2,1,128,RAM
2,1,118,SSD
2,1,224,RAM
2,2,11,RAM
2,2,188,RAM
2,2,60,RAM
2,2,49,RAM
2,2,158,SSD
2,2,79,SSD
2,2,217,RAM
2,2,253,SSD
2,3,202,SSD
2,3,236,SSD
2,3,131,SSD
2,3,214,RAM
2,3,199,RAM
2,3,117,RAM
2,3,219,SSD
2,3,39,RAM
2,4,154,RAM
2,4,88,RAM
2,4,122,SSD
2,4,160,RAM
2,4,172,SSD
2,4,98,SSD
2,4,30,SSD
2,4,58,RAM
2,5,198,SSD
2,5,158,RAM
2,5,31,SSD
2,5,153,RAM
2,5,151,SSD
2,5,61,SSD
2,5,205,SSD
2,5,120,SSD
2,6,156,SSD
2,6,79,RAM
2,6,65,RAM
2,6,49,SSD
2,6,138,RAM
2,6,14,SSD
2,6,143,RAM
2,6,171,SSD
2,7,199,SSD
2,7,35,RAM
2,7,191,SSD
2,7,76,SSD
2,7,32,SSD
2,7,147,SSD
2,7,101,SSD
2,7,185,SSD
2,8,56,SSD
2,8,224,RAM
2,8,180,RAM
2,8,164,RAM
2,8,107,SSD
2,8,220,RAM
2,8,151,RAM
2,8,52,SSD
2,9,217,SSD
2,9,197,RAM
2,9,44,SSD
2,9,156,SSD
2,9,255,RAM
2,9,8,RAM
2,9,61,SSD
2,9,243,RAM
2,10,122,SSD
2,10,171,SSD
2,10,157,RAM
2,10,234,SSD
2,10,194,SSD
2,10,196,RAM
2,10,62,SSD
2,10,63,SSD
2,11,14,SSD
2,11,27,SSD
2,11,111,SSD
2,11,107,RAM
2,11,204,SSD
2,11,101,SSD
2,11,160,RAM
2,11,3,SSD
2,12,208,SSD
2,12,1,SSD
2,12,220,RAM
2,12,43,SSD
2,12,39,RAM
2,12,3,SSD
2,12,65,SSD
2,12,128,RAM
2,13,13,SSD
2,13,199,SSD
2,13,203,SSD
2,13,138,RAM
2,13,202,RAM
2,13,66,RAM
2,13,210,SSD
2,13,20,SSD
2,14,52,SSD
2,14,167,SSD
2,14,137,RAM
2,14,51,RAM
2,14,138,SSD
2,14,106,SSD
2,14,252,SSD
2,14,105,SSD
2,15,233,SSD
2,15,165,RAM
2,15,213,SSD
2,15,162,RAM
2,15,181,SSD
2,15,4,SSD
2,15,206,SSD
2,15,174,RAM
2,16,243,SSD
2,16,170,SSD
2,16,205,RAM
2,16,231,SSD
2,16,229,SSD
2,16,51,RAM
2,16,130,SSD
2,16,28,RAM
2,17,242,SSD
2,17,248,RAM
2,17,115,SSD
2,17,64,RAM
2,17,35,SSD
2,17,158,SSD
2,17,60,SSD
2,17,15,RAM
2,18,192,SSD
2,18,13,RAM
2,18,52,SSD
2,18,226,SSD
2,18,205,SSD
2,18,17,SSD
2,18,155,SSD
2,18,191,SSD
2,19,229,SSD
2,19,4,SSD
2,19,14,SSD
2,19,35,SSD
2,19,51,SSD
2,19,137,SSD
2,19,26,RAM
2,19,197,SSD
2,20,224,SSD
2,20,115,RAM
2,20,56,RAM
2,20,107,SSD
2,20,41,SSD
2,20,151,SSD
2,20,186,SSD
2,20,238,SSD
2,21,217,SSD
2,21,156,SSD
2,21,61,SSD
2,21,197,RAM
2,21,207,SSD
2,21,166,SSD
2,21,0,SSD
2,21,5,SSD
2,22,122,SSD
2,22,196,RAM
2,22,157,RAM
2,22,62,SSD
2,22,63,SSD
2,22,194,SSD
2,22,234,SSD
2,22,150,RAM
2,23,14,RAM
2,23,111,RAM
2,23,107,SSD
2,23,27,SSD
2,23,204,RAM
2,23,56,SSD
2,23,66,SSD
2,23,145,SSD
2,24,106,SSD
2,24,1,RAM
2,24,155,SSD
2,24,199,RAM
2,24,39,SSD
2,24,192,RAM
2,24,16,SSD
2,24,251,SSD
2,25,13,SSD
2,25,202,RAM
2,25,203,SSD
2,25,199,SSD
2,25,20,SSD
2,25,137,SSD
2,25,174,SSD
2,25,210,SSD
2,26,52,SSD
2,26,137,RAM
2,26,138,SSD
2,26,167,RAM
2,26,67,SSD
2,26,252,SSD
2,26,119,SSD
2,26,105,RAM
2,27,233,SSD
2,27,100,SSD
2,27,206,SSD
2,27,80,SSD
2,27,110,SSD
2,27,150,SSD
2,27,85,SSD
2,27,230,SSD
2,28,111,RAM
2,28,80,RAM
2,28,54,SSD
2,28,51,RAM
2,28,233,SSD
2,28,165,SSD
2,28,243,SSD
2,28,215,SSD
2,29,158,RAM
2,29,35,RAM
2,29,242,RAM
2,29,115,SSD
2,29,236,SSD
2,29,89,SSD
2,29,60,SSD
2,29,248,RAM
2,30,13,RAM
2,30,192,RAM
2,30,52,RAM
2,30,117,SSD
2,30,94,SSD
2,30,226,RAM
2,30,106,SSD
2,30,17,SSD
2,31,137,RAM
2,31,229,SSD
2,31,14,RAM
2,31,35,RAM
2,31,67,RAM
