token_idx,layer_id,event,vram_mb,ram_mb
0,0,Before Layer 0,4618.11083984375,4601.98046875
0,0,After Layer 0,4620.85546875,5649.4453125
0,1,Before Layer 1,4620.17333984375,5649.44921875
0,1,After Layer 1,4622.91796875,5963.91015625
0,2,Before Layer 2,4622.23583984375,5963.91015625
0,2,After Layer 2,4624.98046875,6260.45703125
0,3,Before Layer 3,4624.29833984375,6260.45703125
0,3,After Layer 3,4625.037109375,6479.1640625
0,4,Before Layer 4,4624.35498046875,6478.35546875
0,4,After Layer 4,4627.099609375,6654.38671875
0,5,Before Layer 5,4626.41748046875,6654.38671875
0,5,After Layer 5,4629.162109375,6882.84765625
0,6,Before Layer 6,4628.47998046875,6882.84765625
0,6,After Layer 6,4631.224609375,7077.875
0,7,Before Layer 7,4630.54248046875,7077.875
0,7,After Layer 7,4631.28125,7252.96484375
0,8,Before Layer 8,4630.59912109375,7252.96484375
0,8,After Layer 8,4633.34375,7420.390625
0,9,Before Layer 9,4632.66162109375,7420.390625
0,9,After Layer 9,4635.40625,7612.5234375
0,10,Before Layer 10,4634.72412109375,7612.5234375
0,10,After Layer 10,4637.46875,7854.11328125
0,11,Before Layer 11,4636.78662109375,7854.11328125
0,11,After Layer 11,4637.525390625,8019.9296875
0,12,Before Layer 12,4636.84326171875,8019.80859375
0,12,After Layer 12,4639.587890625,8016.6796875
0,13,Before Layer 13,4638.90576171875,8016.6796875
0,13,After Layer 13,4641.650390625,8061.671875
0,14,Before Layer 14,4640.96826171875,8061.671875
0,14,After Layer 14,4643.712890625,8174.75
0,15,Before Layer 15,4643.03076171875,8174.75
0,15,After Layer 15,4643.76953125,8247.80078125
0,16,Before Layer 16,4643.08740234375,8247.80078125
0,16,After Layer 16,4645.83203125,8332.56640625
0,17,Before Layer 17,4645.14990234375,8332.56640625
0,17,After Layer 17,4647.89453125,8354.90234375
0,18,Before Layer 18,4647.21240234375,8354.90234375
0,18,After Layer 18,4649.95703125,8336.5234375
0,19,Before Layer 19,4649.27490234375,8336.5234375
0,19,After Layer 19,4650.013671875,8436.76953125
0,20,Before Layer 20,4649.33154296875,8436.46875
0,20,After Layer 20,4652.076171875,8481.73046875
0,21,Before Layer 21,4651.39404296875,8481.73046875
0,21,After Layer 21,4654.138671875,8553.1640625
0,22,Before Layer 22,4653.45654296875,8553.1640625
0,22,After Layer 22,4656.201171875,8680.59765625
0,23,Before Layer 23,4655.51904296875,8680.59765625
0,23,After Layer 23,4656.2578125,8724.609375
0,24,Before Layer 24,4655.57568359375,8724.609375
0,24,After Layer 24,4658.3203125,8202.96484375
