expert_id,activation_count,tokens_routed,load_count,execution_time_sec,avg_batch_size,max_batch_size,cache_hits,cache_misses
0,119,2416,0,0.10772336493391776,20.30252100840336,112,0,0
1,110,2369,0,0.10506573200109415,21.536363636363635,213,0,0
2,113,2360,0,0.07605405295907985,20.884955752212388,172,0,0
3,110,1249,0,0.06583403498370899,11.354545454545455,70,0,0
4,150,1793,0,0.0893882260133978,11.953333333333333,91,0,0
5,124,963,0,0.06643411701952573,7.766129032258065,86,0,0
6,118,1095,0,0.06432605697773397,9.279661016949152,122,0,0
7,118,797,0,0.06168595299095614,6.754237288135593,64,0,0
8,136,1288,0,0.06853343797411071,9.470588235294118,81,0,0
9,122,1582,0,0.06433781500527402,12.967213114754099,177,0,0
10,136,1425,0,0.06673167303961236,10.477941176470589,83,0,0
11,108,1323,0,0.053570061034406535,12.25,129,0,0
12,119,2016,0,0.05620592102786759,16.941176470588236,116,0,0
13,121,2118,0,0.064471988909645,17.50413223140496,231,0,0
14,138,1887,0,0.06675947804615134,13.673913043478262,94,0,0
15,128,1407,0,0.06081485799950315,10.9921875,82,0,0
16,140,2058,0,0.0643765239728964,14.7,115,0,0
17,118,1285,0,0.09232063804665813,10.889830508474576,79,0,0
18,138,2358,0,0.06310798801860074,17.08695652173913,134,0,0
19,127,1326,0,0.05884282698389143,10.440944881889763,107,0,0
20,142,3256,0,0.06828726491949055,22.929577464788732,204,0,0
21,117,981,0,0.1919391010014806,8.384615384615385,76,0,0
22,131,1976,0,0.06012695702520432,15.083969465648854,153,0,0
23,117,1296,0,0.053372757029137574,11.076923076923077,92,0,0
24,99,1278,0,0.044918999963556416,12.909090909090908,80,0,0
25,98,1702,0,0.04458391298976494,17.367346938775512,192,0,0
26,148,2881,0,0.06601698497252073,19.466216216216218,247,0,0
27,140,1775,0,0.06401381304021925,12.678571428571429,153,0,0
28,137,2253,0,0.06294720699224854,16.445255474452555,164,0,0
29,94,1146,0,0.0406388239498483,12.191489361702128,108,0,0
30,109,1398,0,0.04938524692261126,12.825688073394495,101,0,0
31,111,964,0,0.05016797703137854,8.684684684684685,47,0,0
32,153,2556,0,0.06863514795259107,16.705882352941178,137,0,0
33,104,719,0,0.044902873029059265,6.913461538461538,60,0,0
34,120,1386,0,0.05063330801203847,11.55,131,0,0
35,150,3691,0,0.06667342401487986,24.606666666666666,242,0,0
36,135,3490,0,0.05960369893000461,25.85185185185185,251,0,0
37,136,1484,0,0.05826244998752372,10.911764705882353,86,0,0
38,129,1648,0,0.05510006201075157,12.775193798449612,115,0,0
39,139,2759,0,0.06237935700482922,19.848920863309353,174,0,0
40,127,1466,0,0.055221473980054725,11.543307086614174,65,0,0
41,112,2294,0,0.04863027797546238,20.482142857142858,218,0,0
42,137,2142,0,0.05978606103599304,15.635036496350365,243,0,0
43,163,3882,0,0.07416195805853931,23.8159509202454,189,0,0
44,132,2411,0,0.05756319198553683,18.265151515151516,164,0,0
45,127,2333,0,0.055600706989935134,18.37007874015748,227,0,0
46,117,1173,0,0.051239322041510604,10.025641025641026,62,0,0
47,126,2680,0,0.05649813394120429,21.26984126984127,235,0,0
48,127,1215,0,0.0698764280314208,9.566929133858268,66,0,0
49,95,1246,0,0.04038108493841719,13.115789473684211,95,0,0
50,106,1293,0,0.044363008964865,12.19811320754717,98,0,0
51,121,2463,0,0.05236179496569093,20.355371900826448,194,0,0
52,123,1880,0,0.05279306402371731,15.284552845528456,136,0,0
53,113,1766,0,0.04790563700225903,15.628318584070797,180,0,0
54,117,944,0,0.05142407406674465,8.068376068376068,72,0,0
55,119,1286,0,0.05157629600580549,10.806722689075631,160,0,0
56,143,2431,0,0.06248442603100557,17.0,164,0,0
57,114,1696,0,0.04787437199411215,14.87719298245614,165,0,0
58,150,1983,0,0.06482348197459942,13.22,104,0,0
59,123,1404,0,0.05208353306807112,11.414634146341463,84,0,0
60,129,3236,0,0.0561245350036188,25.085271317829456,198,0,0
61,135,1446,0,0.05737170999054797,10.71111111111111,121,0,0
62,126,874,0,0.05349169498367701,6.936507936507937,65,0,0
63,140,2073,0,0.058778283033461776,14.807142857142857,200,0,0
64,146,3766,0,0.06270248502551112,25.794520547945204,286,0,0
65,104,2825,0,0.045970354025484994,27.16346153846154,194,0,0
66,142,1792,0,0.05971471397060668,12.619718309859154,176,0,0
67,108,913,0,0.04405451394995907,8.453703703703704,42,0,0
68,107,1051,0,0.04453037396160653,9.822429906542055,69,0,0
69,112,1294,0,0.0472586119431071,11.553571428571429,105,0,0
70,119,1141,0,0.05006871900695842,9.588235294117647,99,0,0
71,143,1968,0,0.060146236923174,13.762237762237762,81,0,0
72,117,3253,0,0.048845267039723694,27.803418803418804,292,0,0
73,118,1517,0,0.047637311996368226,12.85593220338983,279,0,0
74,108,1487,0,0.044629926975176204,13.768518518518519,70,0,0
75,117,2956,0,0.048719222053478006,25.264957264957264,257,0,0
76,101,763,0,0.04126755600736942,7.554455445544554,47,0,0
77,126,1325,0,0.051404715042735916,10.515873015873016,46,0,0
78,121,1503,0,0.04979552100849105,12.421487603305785,147,0,0
79,119,1130,0,0.049365279024641495,9.495798319327731,168,0,0
80,114,1165,0,0.04716508993442403,10.219298245614034,93,0,0
81,95,1115,0,0.03840159201354254,11.736842105263158,118,0,0
82,108,988,0,0.04392632599774515,9.148148148148149,60,0,0
83,102,1109,0,0.04121964902878972,10.872549019607844,112,0,0
84,123,1409,0,0.0494433880012366,11.455284552845528,205,0,0
85,116,1901,0,0.048186285013798624,16.387931034482758,258,0,0
86,121,1996,0,0.05027682897343766,16.49586776859504,81,0,0
87,146,2699,0,0.061293136968743056,18.486301369863014,138,0,0
88,151,2988,0,0.06358044600347057,19.788079470198674,171,0,0
89,140,3745,0,0.05925995606230572,26.75,193,0,0
90,107,1357,0,0.0442380490276264,12.682242990654206,108,0,0
91,96,903,0,0.038635113029158674,9.40625,69,0,0
92,116,2276,0,0.05940440996346297,19.620689655172413,203,0,0
93,102,2407,0,0.042647351016057655,23.598039215686274,111,0,0
94,113,1735,0,0.04568878401914844,15.353982300884956,149,0,0
95,139,3589,0,0.05943320495134685,25.820143884892087,310,0,0
96,91,1077,0,0.036560978020133916,11.835164835164836,73,0,0
97,109,1116,0,0.044031765981344506,10.238532110091743,106,0,0
98,116,1330,0,0.04615293499955442,11.46551724137931,83,0,0
99,134,1544,0,0.054645088013785426,11.522388059701493,90,0,0
100,120,1496,0,0.049819183004728984,12.466666666666667,74,0,0
101,104,735,0,0.04266482305683894,7.0673076923076925,43,0,0
102,120,1612,0,0.04813741899852175,13.433333333333334,150,0,0
103,140,2703,0,0.057797427019977476,19.307142857142857,215,0,0
104,107,1192,0,0.04266875903704204,11.14018691588785,143,0,0
105,125,1393,0,0.0500273900324828,11.144,125,0,0
106,134,1586,0,0.05452754497673595,11.835820895522389,93,0,0
107,148,2680,0,0.06041492100484902,18.10810810810811,148,0,0
