layer_id,Embedding,Attention,Linear Attention,Router,Weight Loading,Dispatch Table,Gather,FP8 Dequant,Expert Compute,Scatter,Shared Expert,Merge,GPU Free,Final RMSNorm,LM Head
0,0.0,0.0,2.7003698030011947,0.05380964999767457,5.55473661400265,0.002181331999054237,0.1629309240006478,0.5389112739867414,0.2409765510183206,0.044480669005679374,0.13976811799875577,0.000518233998263895,0.1253174779967594,0.0,0.0,10.635676935005904
1,0.0,0.0,0.5186663040003623,0.003359734997502528,4.312506154999937,0.0022049350018278346,0.13513401999534835,0.5284303769594771,0.16187512302258256,0.03976139700262138,0.05233201800001552,0.00047918000200297683,0.09373287600101321,0.0,0.0,6.787955985981171
2,0.0,0.0,0.4854869519986096,0.0034294580000278074,4.444167520001429,0.0021120479968885775,0.12495237100119994,0.48040036197380687,0.13465641700986453,0.03597900997829129,0.0662238700024318,0.00048548400081926957,0.09269733400014957,0.0,0.0,6.71557432296504
3,0.0,0.649966502001007,0.0,0.004827782000575098,5.134087666000596,0.0020385359994179453,0.12373833800847933,0.4847071640069771,0.13564002098428318,0.03587074699044024,0.055795487998693716,0.0004926569999952335,0.0929024990009566,0.0,0.0,7.567571105992101
4,0.0,0.0,0.546296299999085,0.0035606929977802793,3.945326996999029,0.0021199100019657635,0.11405918799755455,0.4408823819976533,0.12338498599820014,0.033043852993614564,0.05745670999840513,0.0004855899987887824,0.09346297099637013,0.0,0.0,6.134563772979163
5,0.0,0.0,0.5020814230010728,0.0034987180015377817,4.272851347998767,0.002096971000355552,0.11399883602916816,0.43175460100883356,0.12131521501214593,0.032889335005165776,0.05317410200041195,0.0004993539996576146,0.08880284499628033,0.0,0.0,6.386121679053758
6,0.0,0.0,0.5190058550033427,0.003472360003797803,4.47161659700032,0.0020979350038032862,0.10617170600016834,0.40638499197211786,0.12626507901677542,0.031317234014750284,0.056796352999299415,0.0004895960009889677,0.08950116300184163,0.0,0.0,6.541532903017469
7,0.0,0.33883929700004956,0.0,0.0035535159977371222,5.256645081998613,0.0021363759969972307,0.10469844402541639,0.4144862709836161,0.11531105599988223,0.031165680010417418,0.06895585600159393,0.00047828899914748035,0.09045084899935318,0.0,0.0,7.150141165011519
8,0.0,0.0,0.6005709989985917,0.003261456001382612,5.006412782000552,0.0020320010007708333,0.11215236702446418,0.43601815400052146,0.12268197599041741,0.03456160098721739,0.04911708099734824,0.0005029909998484072,0.09012906499992823,0.0,0.0,7.224405588000991
9,0.0,0.0,0.5325379430005341,0.003631130002759164,4.3160261860011815,0.001962991996151686,0.10743095199086383,0.41952768599821866,0.11676264801099023,0.03198597102709755,0.05222954899818433,0.0004830860043512075,0.08993266900051822,0.0,0.0,6.4073002040286156
